"InChIKey","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"WCWYEXBIRSSVGF-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Depsides and depsidones",NA,"Depsides and depsidones",NA,NA,NA,NA,NA
"YIKKMWSQVKJCOP-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives",NA,NA,NA,NA,NA
"SUYLTDFWHNXGDX-UHFFFAOYNA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Cyclobutane lignans",NA,"Cyclobutane lignans",NA,NA,NA,NA,NA
"UPADPCUOTDTWHH-DKNQSDBISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins","Cucurbitacin glycosides",NA,NA,NA,NA
"TYSDIIIOAAJYCL-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides",NA,NA,NA,NA
"AENKZDZJGNAFQJ-AGIWQJESSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols",NA,NA,NA,NA,NA
"SXXHVPYRDFJKPG-VXJLCZPPSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","Spirosolanes and derivatives",NA,NA,NA,NA,NA
"HTBWBWWADZJXID-TXEJJXNPSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins","Hydrolyzable tannins",NA,NA,NA,NA,NA
"ICSOIMDWVVEKBW-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acids","Carboxylic acids",NA,NA,NA,NA,NA
"TZCNLEFTWVBTTI-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",NA,NA,NA,NA,NA
