"INCHIKEY","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"AACXJFORHWGYIN-PPPGVCINSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Tetraterpenoids","Carotenoids","Xanthophylls",NA,NA,NA,NA
"AAHSTEUFCXJGIV-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Terpene lactones",NA,NA,NA,NA,NA
"AAJIHHYEPHRIET-JNAHJFNHSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"AAKBCFNYQADTIH-YZTYGCCUSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols",NA,NA,NA,NA,NA
"AAKJLRGGTJKAMG-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinazolines","Quinazolinamines",NA,NA,NA,NA
"AAOFJKLTRKOQTQ-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA,NA
"AAPVQEMYVNZIOO-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid diesters",NA,NA,NA,NA,NA
"AASPCSXRLUECMA-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AATUJJYGUXNPAQ-UHFFFAOYSA-N","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAWZDTNXLSGCEK-LNVDRNJUSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives",NA,NA,NA
"AAWZDTNXLSGCEK-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives",NA,NA,NA
"AAWZDTNXLSGCEK-WYWMIBKRSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives",NA,NA,NA
"ABHHIGWFFMCQOC-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolactams",NA,"Macrolactams",NA,NA,NA,NA,NA
"ABJKWBDEJIDSJZ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Naphthalenes",NA,"Naphthalenes",NA,NA,NA,NA,NA
"ABJOCPBDVGJFLG-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","Benzenediols","Catechols",NA,NA,NA,NA,NA
"ABORWESIKJVKBN-NNTCGQASSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides",NA,NA,NA,NA,NA
"ABRIMXGLNHCLIP-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Cyclic ketones",NA,NA,NA,NA
"ABTNALLHJFCFRZ-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins",NA,NA,NA,NA
"ABUBCBFUQXIEAU-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Neoflavonoids","Neoflavones","Neoflavones",NA,NA,NA,NA,NA
"ABVCUBUIXWJYSE-UHFFFAOYNA-O","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Anthocyanins","Anthocyanidin-3-O-glycosides",NA,NA,NA
"ABXZOXDTHTTZJW-GFCCVEGCSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isoquinolines and derivatives","Benzylisoquinolines","Benzylisoquinolines",NA,NA,NA,NA,NA
"ACEWLPOYLGNNHV-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Aromatic monoterpenoids",NA,NA,NA,NA,NA
"ACIJGUBIMXQCMF-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides",NA,NA,NA,NA
"ACNHBCIZLNNLRS-FAWQAIAASA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthopyrans",NA,"Naphthopyrans",NA,NA,NA,NA,NA
"ACTIUHUUMQJHFO-UPTCCGCDSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Prenylquinones","Ubiquinones",NA,NA,NA,NA
"ACTOXUHEUCPTEW-JMRHEKERSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","Aminoglycosides",NA,NA,NA,NA
