"Metabolite_name","Type","Alignment_ID","Average_Rt(min)","Average_Mz","Adduct_type","Post_curation_result","Fill_percent","MS.MS_assigned","Reference_RT","Reference_m.z","Formula","Ontology","Annotation_tag_(VS1.0)","RT_matched","m.z_matched","MS.MS_matched","Comment","Manually_modified_for_quantification","Manually_modified_for_annotation","Isotope_tracking_parent_ID","Isotope_tracking_weight_number","RT_similarity","m.z_similarity","Simple_dot_product","Weighted_dot_product","Reverse_dot_product","Matched_peaks_count","Matched_peaks_percentage","Total_score","S.N_average","Spectrum_reference_file_name","MS1_isotopic_spectrum","MS.MS_spectrum","Blank_1_1","Blank_1","Blank_2_1","Blank_2","Sample.Avg","Sample.Std","Isotope_tracking_weight_number2","HRF_Score","SI","P12_B_001","P12_D1_001","P12_D2_001","P12_D3_001","P14_B_001","P14_D1_001","P14_D2_001","P14_D3_001","P15_B_001","P15_D1_001","P15_D2_001","P15_D3_001","P16_B_001","P16_D1_001","P16_D2_001","P16_D3_001","QCB_001","QCB_002","QCP_001","QCP_002","Spk1_001","Spk2_002","QC_Pooled_Avg","QC_Blank_Avg","Solvent_Blank_Avg","LOD_pre_solv_sub","QC_Pool_Blank_Sub","QC_Pool_Blank_Ratio","SMILES","INCHIKEY"
"(7z,11z)-7,11-hexadecadienol","EI","963","23.762",137.13304,NA,NA,NA,NA,NA,"123.11683","C16 H30 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97.8","698",0.00042618072850807,0.00524255375484739,NA,0.000503054766623136,0.000209032627870725,0.0210391312681182,0.00619104497571591,0.00781535727965674,NA,0.0102131872465445,0.016274273525485,NA,0.000433476392866402,0.0510325793916973,NA,0.0920718905343422,NA,0.000271945329555969,NA,0.0137534737576129,0,0,0.0137534737576129,0.000271945329555969,0,4.18065255741451e-05,0.0134815284280569,0.0197728467984636,"CCCCC=CCCC=CCCCCCCO","ZWMPSFHVSWYKPO-QMRMAQATSA-N"
"(E)-Hexadec-9-enoic acid","EI","925","18.936",219.21118,NA,NA,NA,NA,NA,"152.1196","C16 H30 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.2","585",0.000102031065835341,0.000725105914497475,0.000388014710389653,0.000381663181158163,NA,0.00518005078989905,NA,0.00213285763488872,NA,0.000474562907455497,0.000502642396597822,0.00188969274355517,0.000111471959999226,0.000955455032020632,NA,0.00156378788720556,NA,NA,NA,0.000373392041513295,0,0,0.000373392041513295,0,0,2.04062131670681e-05,0.000373392041513295,0,"CCCCCCC=CCCCCCCCC(=O)O","SECPZKHBENQXJG-BQYQJAHWSA-N"
"1-Butanol, 3-methyl-, benzoate","EI","168","8.406",149.09666,NA,NA,NA,NA,NA,"123.04408","C12 H16 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.949","1711","272",NA,NA,1900,NA,NA,NA,NA,NA,NA,"98","782",0.00326513855845223,0.0313292315649464,0.0187819364521156,0.0375125569629501,0.000594527384303335,0.0112169696818617,0.0205128836369604,0.00560129168296017,0.000301990678423359,0.00044921775382842,0.000328849543336781,0.0019682053255503,0.00974892764766701,0.000335669759713538,NA,0.0013676416159823,NA,0.00239984227170886,NA,0.00941154228845808,0,6.98782289197553e-05,0.00941154228845808,0.00239984227170886,6.98782289197553e-05,6.03981356846718e-05,0.00701170001674922,0.25498926723752,"CC(C)CCOC(=O)C1=CC=CC=C1","MLLAPOCBLWUFAP-UHFFFAOYSA-N"
"1-Dodecyl-2-pyrrolidinone","EI","569","13.652",168.17522,NA,NA,NA,NA,NA,"169.14168","C16 H31 N O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.922","2359","234",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99","628",NA,0.000127952367652999,0.000214162128438598,0.000382896046611446,8.40246846308664e-05,0.00033017122735812,0.000177070226307055,0.000178792815601242,0.000267911318849024,0.000192880383233779,0.000297493713015411,0.000217980079969597,8.54277265259098e-05,0.000240302909843078,NA,0.000387596591201767,NA,0.00031444305910097,NA,0.000323842803327705,0,2.5129710084707e-05,0.000323842803327705,0.00031444305910097,2.5129710084707e-05,1.68049369261733e-05,9.39974422673498e-06,0.970974361232838,"CCCCCCCCCCCCN1CCCC1=O","NJPQAIBZIHNJDO-UHFFFAOYSA-N"
"1-Eicosanol","EI","435","12.202",203.05603,NA,NA,NA,NA,NA,"56.06206","C20 H42 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.93","2136","146",NA,NA,NA,NA,NA,NA,NA,NA,NA,"94.8","750",0.0247735424345831,0.176315736261969,0.0959122625853778,0.0872505502232856,0.0340483664196609,0.0470340868724251,0.0435243843876701,0.0263098011301296,0.0384224014567579,0.0172134371221557,0.00141691794685398,0.0173096903348723,0.121618813165931,0.0128278763625932,NA,0.00357975975657923,NA,0.0327536072707544,NA,0.0159787649135955,0,0,0.0159787649135955,0.0327536072707544,0,0.000283383589370795,0,2.0498209622501,"CCCCCCCCCCCCCCCCCCCCO","BTFJIXJJCSYFAL-UHFFFAOYSA-N"
"1-Methyl-d3-2-(3-pyridyl)-pyrrolidine","EI","43","4.977",165.13449,NA,NA,NA,NA,NA,"65.03856","C10 H11 D3 N2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.961",NA,NA,NA,NA,27357,NA,NA,NA,NA,NA,NA,"97.6","853",0.0894622252609514,0.0797238105561417,0.0801276967382049,0.0724662788467685,0.0988440045454627,0.0732691670057196,0.0838806219644887,0.0611266224926549,0.132531871334091,0.0884314681161418,0.0786642556892201,0.0687142298317756,0.140355113948638,0.070443207155117,NA,0.0683555667359332,NA,0.0672795003170145,NA,0.0549017572808738,0,0.0657808186686412,0.0549017572808738,0.0672795003170145,0.0657808186686412,0.0109803514561748,0,1.22545258383656,"CN1CCCC1C2=CN=CC=C2","SNICXCGAKADSCV-FIBGUPNXSA-N"
"1-Methyl-d3-5-(3-pyridyl)pyrrolidin-2-one","EI","167","8.377",179.11372,NA,NA,NA,NA,NA,"78.03377","C10 H9 D3 N2 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.97","1709",NA,NA,NA,1281,NA,NA,NA,NA,NA,NA,"99.3","860",0.0854838081778405,0.115872215821629,0.109480651186465,0.100285225705701,0.0861629404832011,0.0930013747383654,0.108660332743707,0.0815341748387405,0.108562732334053,0.0659090368709877,0.0627483244667575,0.0645529425217729,0.124685860001385,0.0736899337014651,NA,0.0774481203949425,NA,0.0611304752297317,NA,0.0689982078764301,0,0.0359826036275398,0.0689982078764301,0.0611304752297317,0.0359826036275398,0.0122260950459463,0.0078677326466984,0.885971927549353,"CN1C(CCC1=O)C2=CN=CC=C2","UIKROCXWUNQSPJ-FIBGUPNXSA-N"
"1-Phenanthrenecarboxaldehyde, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1a,4aﬂ,10aa)]-","EI","527","13.226",284.21399,NA,NA,NA,NA,NA,"209.13245","C20 H28 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.955","2290","27",NA,NA,2324,NA,NA,NA,NA,NA,NA,"98.1","814",0.00143876321977012,0.00602658711487019,0.00107579474163122,0.00623144994109643,0.00116391939907686,0.000464681662663955,0.00237567700640079,0.00431960961999494,0.00178363442579608,0.0140130468569782,0.00118164376261527,0.0134197487723864,0.0019498185387013,0.0089221742416719,NA,0.00107739570635451,NA,0.000947443479336784,NA,0.00484067634387804,0,0.000240826388311775,0.00484067634387804,0.000947443479336784,0.000240826388311775,9.2936332532791e-05,0.00389323286454126,0.195725434222639,"[Na]","KEAYESYHFKHZAL-UHFFFAOYSA-N"
"1-Tricosene","EI","214","9.299",209.13303,NA,NA,NA,NA,NA,"56.06206","C23 H46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.967","1793","498",NA,NA,33932,NA,NA,NA,NA,NA,NA,"99.7","843",0.0650586718352777,0.068222504220605,0.0453288172254176,0.0396416242774039,0.01081093596964,NA,0.00818477183896518,0.00442415676693882,0.00305183042617903,0.00514105111245463,0.00447274046441781,0.0356093559652351,0.234927370257961,0.00552058645026209,NA,0.00597552571354799,NA,0.0806790795995269,NA,0.0178166870992566,0,0.000747553766006689,0.0178166870992566,0.0806790795995269,0.000747553766006689,0.000610366085235807,0,4.52828739428742,"CCCCCCCCCCCCCCCCCCCCCC=C","SJDSOBWGZRPKSB-UHFFFAOYSA-N"
"1-Tricosene","EI","290","10.638",153.16438,NA,NA,NA,NA,NA,"97.01063","C23 H46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.957","1935","356",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.4","815",0.00111244678127739,0.00327028198656837,0.00144328215588095,0.00134994200966201,0.00186349050271511,0.00124549337260116,0.00378214830619229,0.00325764850888398,0.000452890912445528,0.0006124555997137,0.000549816751184456,0.000719261985343174,0.00304090357447697,0.000610937678741949,NA,0.00134531778621877,NA,0.00118123116624934,NA,0.00153804820364379,0,0,0.00153804820364379,0.00118123116624934,0,9.05781824891057e-05,0.00035681703739445,0.768006596575377,"CCCCCCCCCCCCCCCCCCCCCC=C","SJDSOBWGZRPKSB-UHFFFAOYSA-N"
