Sample,,Choline-d9 Results,,Choline Results,,TMAO-d9 Results,,Creatine-d3 Results,,Creatine Results,,F-Tyr Results,,Cl-Tyr Results,,F-Phe Results,
Name,Data File,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
Blank_1,JOQT31508_Blank_1.d,,,0.835,8621,,,0.901,35778844,0.885,13348,3.750,6566,4.031,24038,3.137,106516
QC-Blank,JOQT31508_QC-Blank.d,0.866,2156099,0.866,109234,0.899,815380,0.899,6336205,0.899,895199,2.920,1550057,3.582,5223203,3.831,9814222
QC-Pooled_1,JOQT31508_QC-Pooled.d,0.848,8474605,0.848,3068121,0.881,4157498,0.898,8300771,0.898,2738734,2.902,1262677,3.581,4561383,3.829,8579503
Spike_Blank-1,JOQT31508_Spike_Blank-1.d,0.830,14821441,,,0.879,4482028,0.896,34959632,0.912,5872890,2.916,1528612,3.579,5686227,3.827,10035227
Spike_Blank-2,JOQT31508_Spike_Blank-2.d,0.829,14168017,0.829,21453,0.879,3827347,0.896,26313189,0.896,4958587,2.900,847881,3.595,3243515,3.827,5852369
Blank_2,JOQT31508_Blank_2.d,0.828,9351,0.828,11538,,,0.894,36245971,0.894,9960,3.395,4841,4.024,26207,3.776,65113
12-B,JOQT31508_1.d,0.859,1466030,0.876,1043728,0.892,661028,0.892,2041886,0.909,999129,2.913,1510583,3.592,4591664,3.823,8670173
12-1,JOQT31508_2.d,0.843,10540571,0.843,3362933,0.876,4436819,0.893,9624587,0.910,4291154,2.914,1891883,3.576,6493431,3.824,12464522
12-2,JOQT31508_3.d,0.842,8555397,0.842,1378006,0.891,2952196,0.891,7812857,0.908,2684172,2.912,1738728,3.574,6371110,3.839,12273727
12-3,JOQT31508_4.d,0.836,7528185,0.836,849470,0.886,2487807,0.886,8716972,0.903,2337081,2.907,1825085,3.586,6436939,3.834,10991850
14-B,JOQT31508_5.d,0.866,3103722,0.866,9701,0.883,906564,0.899,10060843,0.899,1104099,2.903,1640643,3.582,6174492,3.831,10620229
14-1,JOQT31508_6.d,0.848,9319824,0.848,3719954,0.881,4117939,0.897,10079814,0.897,3900045,2.901,1771521,3.580,6270557,3.829,11333555
14-2,JOQT31508_7.d,0.846,10594461,0.846,3557392,0.879,4233123,0.896,8170998,0.896,4080425,2.916,1792837,3.579,6226044,3.827,11529382
14-3,JOQT31508_8.d,0.847,10992664,0.847,4615586,0.880,3978828,0.897,8840288,0.914,3246764,2.918,1724424,3.580,6057472,3.828,11336301
QC-Blank,JOQT31508_QC-Blank_1.d,0.847,2573472,0.847,98817,0.897,625402,0.897,5096109,0.897,451764,2.917,1490974,3.580,5264890,3.828,9441173
Blank_2,JOQT31508_Blank_2_1.d,0.825,7691,0.825,14914,,,0.892,36727611,0.892,8629,3.210,22333,4.287,30260,4.088,19519
15-B,JOQT31508_9.d,0.881,3219665,0.881,14082,0.898,849990,0.898,10368596,0.898,1264039,2.902,1854491,3.581,6734578,3.829,11337914
15-1,JOQT31508_10.d,0.844,8654105,0.844,4887620,0.877,4347003,0.894,7510300,0.911,3187253,2.915,1769478,3.577,5903042,3.825,11745669
15-2,JOQT31508_11.d,0.861,13318523,0.861,4234907,0.894,5631202,0.894,8054952,0.910,2488692,2.898,1731338,3.577,6363297,3.825,11942631
15-3,JOQT31508_12.d,0.857,5320840,0.857,4937276,0.874,4209780,0.890,6702188,0.907,2947599,2.911,1321179,3.573,4767745,3.821,9850206
16-B,JOQT31508_13.d,0.852,5436958,0.852,87620,0.885,1490387,0.901,14216425,0.901,1823958,2.905,2044241,3.584,7134657,3.833,12573566
16-1,JOQT31508_14.d,0.835,15611548,0.851,2097952,0.885,4211636,0.885,10913090,0.901,2864495,2.905,1435028,3.584,5070096,3.832,9715483
16-2,JOQT31508_15.d,0.849,10984244,0.849,2837527,0.883,4256398,0.899,10424638,0.899,3902966,2.903,1525554,3.582,5741334,3.831,10650769
16-3,JOQT31508_16.d,0.847,11496426,0.847,1513969,0.881,4467478,0.897,9610277,0.914,3112230,2.918,1555390,3.580,5705625,3.828,10472308
QC-Pooled_1,JOQT31508_QC-Pooled_2.d,0.850,8528508,0.850,2598580,0.884,3492426,0.900,7709922,0.900,2735703,2.904,1171521,3.583,4387031,3.831,8236226
Blank_1,JOQT31508_Blank_1_1.d,0.829,17834612,0.829,7128,0.878,4132719,0.895,33655822,0.912,6065185,2.899,1546839,3.578,5838472,3.826,10229727
