,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,Reference m/z,MS/MS assigned,Reference RT,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Isotope tracking weight number2,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,HRF Score,SI,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,JOQT31508_1,JOQT31508_5,JOQT31508_9,JOQT31508_13,JOQT31508_QC-Blank,JOQT31508_QC-Pooled,JOQT31508_Blank_1_1,JOQT31508_Spike_Blank-1,JOQT31508_Spike_Blank-2,JOQT31508_2,JOQT31508_3,JOQT31508_4,JOQT31508_6,JOQT31508_7,JOQT31508_8,JOQT31508_10,JOQT31508_11,JOQT31508_12,JOQT31508_14,JOQT31508_16,,,,,,
2,3.632,157.10176,2-[5-(2-hydroxyethyl)-4-methyl-1H-imidazol-3-ium-3-yl]acetic acid cetyl ester,,,,97.06477,,,C24 H45 N2 O3,,,,,,,,,,,,,,,,,,,,,0.902,96.8,571,,,,,163858,83325,18661,67428,72659,41662,855,7696,10234,60045,23309,35253,136470,195206,14974,22474,21332,,27252,24564,,,,,,
1,3.632,149.04547,"Silane, trimethyl[1-[(4-methylphenyl)sulfonyl]-1,2-decadienyl]-",,,,43.98929,,,C20 H32 O2 S Si,,,,,,,,,,,,,,,,,,,,,0.882,92.8,554,,,,,,695521,1239411,979463,,1386919,577844,139169,117299,521968,1186649,454508,1850336,1091998,484407,407977,176062,248253,219696,1231734,,,,,,
3,3.632,268.97903,3-{4-[(Phenylcarbonyl)amino]phenyl}propanoic acid,,,,122.03634,,,C16 H15 N O3,,,,,,,,,,,,,,,,,,,,,0.865,88,564,,,,,18445221,2140337,17145484,6409585,10025315,12924748,1125163,418440,530250,21028292,19080230,24422736,18600718,17607004,14910484,15791258,17130460,15554773,13371297,10655630,,,,,,
5,3.784,327.09354,"Dimethyl 4-ethyl-5-(trimethylsilyl)pyridazine-3,6-dicarboxylate",,,,136.08372,,,C13 H20 N2 O4 Si,,,,,,,,,,,,,,,,,,,,,0.792,69.7,567,,,,,49207,193444,40823,67646,34642,27710,7032,12970,16777,46869,30069,52967,79079,87354,57674,47437,40435,56062,89944,79313,,,,,,
4,3.787,327.09363,Peak@3.778,,,,299.02548,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,165653,71633,150540,58387,115006,116044,218082,114917,101070,139089,133281,132512,169607,138773,133931,96499,140520,115178,146619,185739,,,,,,
6,3.819,138.0681,2-Phenoxyethanol,,,,95.04467,,,C8 H10 O2,,,,,,,,,,,,,,,,,,,,,0.979,99.8,900,,,,,1944811,,,9693,320597,151264,2513,1299,3902,317862,1072461,504005,197458,151150,60147,,4477,5077,,,,,,,,
7,3.889,135.01417,Benzothiazole,,,,95.01587,,,C7 H5 N S,,,,,,,,,,,,,,,,,,,,,0.954,95,867,,,,,88550,,,,83206,,900,,1500,22803,27880,37802,,,,10298,2246,3706,,,,,,,,
8,3.98,79.97207,Peak@3.971,,,,56.97933,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,152803,8359,22736,27640,51967,247012,,,,233477,35183,,20501,142241,366855,734832,38296,172539,631334,12917,,,,,,
9,3.985,135.01417,Benzothiazole,,,,108.00275,,,C7 H5 N S,,,,,,,,,,,,,,,,,,,,,0.978,97.4,939,,,,,11727844,796134,1751720,2485778,3786611,17804014,12576,40133,91962,18146840,2926466,10179664,2145548,11761221,25866510,51641097,3071949,12550192,42103437,1169745,,,,,,
10,4.049,138.0681,2-Phenoxyethanol,,,,257.03293,,,C8 H10 O2,,,,,,,,,,,,,,,,,,,,,0.802,73.6,538,,,,,75455,95922,88777,58716,141568,98233,118578,111898,74008,96307,111347,105978,99430,89488,105403,107648,117562,65607,49848,109252,,,,,,
11,4.063,239.09561,"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane",,,,127.06281,,,C14 H36 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.849,87.2,500,,,,,15660,17923,12678,19050,10002,,16387,16905,12456,41200,10674,,,,19022,7727,8450,10008,14425,28000,,,,,,
12,4.071,115.07599,Nonanoic acid,,,,115.07544,,,C9 H18 O2,,,,,,,,,,,,,,,,,,,,,0.947,99.1,751,,,,,1519357,579511,299158,713797,893744,1535091,51609,328193,265507,2159537,2088350,2345927,1536987,1884091,1318170,636591,326713,1322266,1561367,202443,,,,,,
13,4.076,323.09878,"1-(2-Methylbutoxy)-7-heptyl-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,,,388.06039,,,C18 H44 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.78,65.8,584,,,,,25803,15909,15887,40463,,,,19519,,,37366,,27224,,15870,15154,17562,7495,5041,21181,,,,,,
14,4.137,162.07201,1-Methoxy-5-dimethyl(ethyl)silyloxy-3-phenylpentane,,,,91.03854,,,C16 H28 O2 Si,,,,,,,,,,,,,,,,,,,,,0.849,86.5,513,,,,,5389,8547,972,27160,7122,5877,1887,4006,331,1225,1027,,12537,13636,12904,,581,303,6497,19009,,,,,,
15,4.15,297.0466,"1,3,5,7-Tetraethyl-1-methoxycyclotetrasiloxane",,,,298.04526,,,C9 H26 O5 Si4,,,,,,,,,,,,,,,,,,,,,0.848,81.9,601,,,,,281226,100405,213926,173587,138191,177924,24251,125129,128639,269244,341583,331552,391822,422546,435669,285507,205560,247120,244672,253584,,,,,,
16,4.211,124.05241,3-(2-Methoxyvinyl)furan,,,,125.0553,,,C7 H8 O2,,,,,,,,,,,,,,,,,,,,,0.905,87.2,778,,,,,22714,812205,1142563,,,174525,2186,507,2188,69505,23223,41314,184777,34423,237294,53972,107642,80751,146043,141739,,,,,,
17,4.25,135.01417,Benzothiazole,,,,81.98714,,,C7 H5 N S,,,,,,,,,,,,,,,,,,,,,0.967,97.3,890,,,,,886726,45641,1627005,353118,165331,5053503,687,1956,5954,6003138,1188254,6011616,172055,2782569,9767029,7300727,2182690,11194130,15255170,1199149,,,,,,
18,4.315,429.08926,"Cyclohexasiloxane, dodecamethyl-",,,,325.9859,,,C12 H36 O6 Si6,,,,,,,,,,,,,,,,,,,,,0.892,85.9,741,,,,,30502494,2150478,2317123,668950,8319039,693665,14054,,,2984153,1079883,1287534,1008029,888358,324848,257778,335388,124070,201548,278742,,,,,,
19,4.38,209.01224,Peak@4.380,,,,111.03956,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,18016,3008,213703,33030,12507,198687,,5188,32077,12484,58556,47169,130414,99009,88663,413799,16291,37640,95397,148156,,,,,,
20,4.454,397.02667,"8-Hydroxyquinoline-2-carboxamide, bis(tert-butyldimethylsilyl) deriv.",,,,360.02774,,,C22 H36 N2 O2 Si2,,,,,,,,,,,,,,,,,,,,,0.894,93.4,600,,,,,6188665,126295,1074294,177826,1963898,156041,1410514,677649,285708,467522,149082,649293,411276,,324465,226270,409726,138485,106731,266389,,,,,,
21,4.459,429.08926,"Cyclohexasiloxane, dodecamethyl-",,,,294.93976,,,C12 H36 O6 Si6,,,,,,,,,,,,,,,,,,,,,0.944,95.5,810,,,,,356022,1774,10942,1123,35363,1559,,2488,379,27668,5234,17884,8440,13402,1062,1736,603,670,2286,1462,,,,,,
22,4.476,299.06235,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",,,,86.04738,,,C12 H34 O5 Si4,,,,,,,,,,,,,,,,,,,,,0.915,97.7,620,,,,,287610,,812,1123,,7896,,,,,121913,83794,,3361,3542,1132,,2336,2145,3947,,,,,,
23,4.65,150.10452,"Phenol, 2-methyl-5-(1-methylethyl)-",,,,150.10397,,,C10 H14 O,,,,,,,,,,,,,,,,,,,,,0.972,99.5,868,,,,,5920054,33578,18781,13856,1336559,567806,12335,,16387,117734,19159,8655424,107112,42245,21714,17966,6711,15728,11072,12490,,,,,,
24,4.668,337.11441,"Acetaldehyde, [(trimethylsilyl)oxy]-, O-[bis[(trimethylsilyl)oxy]phosphinyl]oxime",,,,285.03427,,,C11 H30 N O5 P Si3,,,,,,,,,,,,,,,,,,,,,0.753,62.3,519,,,,,123593,445,1112,,44999,22736,587,645,242,134605,41966,91560,1819,2309,939,996,329,335,3347,800,,,,,,
25,4.734,127.11236,"1-Hexadecanol, TMS derivative",,,,113.09609,,,C19 H42 O Si,,,,,,,,,,,,,,,,,,,,,0.657,51.5,506,,,,,20362160,199614,116142,838425,5241732,226779,,567,,,54757,,524659,597951,38217,41114,57946,9710,27464,67075,,,,,,
26,4.737,207.033,"2,5-Dimethylhexane-2,5-dihydroperoxide",,,,113.09599,,,C8 H18 O4,,,,,,,,,,,,,,,,,,,,,0.94,99.2,713,,,,,20362160,199614,116142,838425,5241732,226779,,567,,393046,54757,679754,524659,597951,38217,41114,57946,9710,27464,67075,,,,,,
27,4.746,697.19861,Peak@4.742,,,,549.16107,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3281526,,76043,293891,636166,63906,,760,,167229,34769,439979,195782,217327,15173,13319,55463,4042,7451,34286,,,,,,
28,4.759,697.19891,Peak@4.759,,,,357.06693,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,378169,306000,213184,621265,85861,377954,276041,242388,118579,988323,925923,60606,840480,2076267,987425,387365,439230,467001,459826,738457,,,,,,
29,4.764,148.06581,"Bicyclo[3.2.1]oct-6-ene, 2,8-dimethoxy-",,,,80.05584,,,C10 H16 O2,,,,,,,,,,,,,,,,,,,,,0.608,20.9,622,,,,,86722,2837795,1876110,2012778,868584,1416055,26560,345484,735341,1664946,1496533,2016209,1744326,1516976,1285429,1407941,1438878,1317619,2047572,1264225,,,,,,
30,4.764,108.05131,"5,6-Dihydro-4H-pyrrolo[1,2-b]pyrazole",,,,80.05584,,,C6 H8 N2,,,,,,,,,,,,,,,,,,,,,0.597,8.2,823,,,,,86722,2837795,1876110,2012778,868584,1416055,26560,345484,735341,1664946,1496533,2016209,1744326,1516976,1285429,1407941,1438878,1317619,2047572,1264225,,,,,,
31,4.772,199.04578,"Benzoic acid, 2-[[[4-[(acetylamino)sulfonyl]phenyl]amino]carbonyl]-",,,,107.04447,,,C16 H14 N2 O6 S,,,,,,,,,,,,,,,,,,,,,0.929,94.7,749,,,,,,424738,437008,289858,81223,219625,106424,201942,200008,445537,372062,517572,348387,256105,348861,382420,456572,363130,486106,390383,,,,,,
