Compound,RT,Filename,Area,m/z (Apex),ISTD Response,Actual RT,RT Delta,m/z (Expected),m/z (Delta)
BDE 100,15.72,Blk_001,N/F,N/F,3968217,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P12_B_001,N/F,N/F,6973854,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P12_D1_001,N/F,N/F,6306157,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P12_D2_001,934,565.61755,5854375,15.77,0.05,<multiple>,-2.62772 (ppm)
BDE 100,15.72,P12_D3_001,N/F,N/F,6321116,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P14_B_001,N/F,N/F,5653277,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P14_D1_001,1526,565.6203,5548788,15.78,0.06,<multiple>,2.22817 (ppm)
BDE 100,15.72,P14_D2_001,N/F,N/F,4391306,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P14_D3_001,N/F,N/F,4577212,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P14_D3_002,N/F,N/F,3966503,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P15_B_001,N/F,N/F,4199472,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P15_D1_001,N/F,N/F,4186286,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P15_D2_001,N/F,N/F,3600742,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P15_D3_001,N/F,N/F,5081949,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P16_B_001,N/F,N/F,5455441,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P16_D1_001,N/F,N/F,4601497,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P16_D2_001,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
BDE 100,15.72,P16_D3_001,N/F,N/F,3687796,N/F,N/F,<multiple>,N/F
BDE 100,15.72,QCB_001,N/F,N/F,6299443,N/F,N/F,<multiple>,N/F
